game_id,event_id,home_win_prob
PHI200407060,1,0.5
PHI200407060,2,0.52
PHI200407060,3,0.54
PHI200407060,4,0.53
PHI200407060,5,0.55
PHI200407060,6,0.53
PHI200407060,7,0.51
PHI200407060,8,0.5
PHI200407060,9,0.52
PHI200407060,10,0.48
PHI200407060,11,0.52
PHI200407060,12,0.51
PHI200407060,13,0.55
PHI200407060,14,0.53
PHI200407060,15,0.51
PHI200407060,16,0.5
PHI200407060,17,0.52
PHI200407060,18,0.49
PHI200407060,19,0.51
PHI200407060,20,0.4
PHI200407060,21,0.45
PHI200407060,22,0.49
PHI200407060,23,0.61
PHI200407060,24,0.6
PHI200407060,25,0.54
PHI200407060,26,0.5
PHI200407060,27,0.53
PHI200407060,28,0.5
PHI200407060,29,0.46
PHI200407060,30,0.51
PHI200407060,31,0.56
PHI200407060,32,0.53
PHI200407060,33,0.56
PHI200407060,34,0.6
PHI200407060,35,0.68
PHI200407060,36,0.59
PHI200407060,37,0.5
PHI200407060,38,0.45
PHI200407060,39,0.34
PHI200407060,40,0.35
PHI200407060,41,0.26
PHI200407060,42,0.28
PHI200407060,43,0.27
PHI200407060,44,0.26
PHI200407060,45,0.24
PHI200407060,46,0.3
PHI200407060,47,0.26
PHI200407060,48,0.3
PHI200407060,49,0.26
PHI200407060,50,0.23
PHI200407060,51,0.2
PHI200407060,52,0.17
PHI200407060,53,0.12
PHI200407060,54,0.15
PHI200407060,55,0.17
PHI200407060,56,0.14
PHI200407060,57,0.12
PHI200407060,58,0.11
PHI200407060,59,0.1
PHI200407060,60,0.12
PHI200407060,61,0.13
PHI200407060,62,0.14
PHI200407060,63,0.11
PHI200407060,64,0.14
PHI200407060,65,0.07
PHI200407060,66,0.08
PHI200407060,67,0.09
PHI200407060,68,0.1
PHI200407060,69,0.15
PHI200407060,70,0.09
PHI200407060,71,0.16
PHI200407060,72,0.09
PHI200407060,73,0.04
PHI200407060,74,0.04
PHI200407060,75,0.05
PHI200407060,76,0.05
PHI200407060,77,0.02
PHI200407060,78,0.05
PHI200407060,79,0.02
PHI200407060,80,0.05
BOS202209140,1,0.5
BOS202209140,2,0.52
BOS202209140,3,0.54
BOS202209140,4,0.53
BOS202209140,5,0.55
BOS202209140,6,0.53
BOS202209140,7,0.51
BOS202209140,8,0.5
BOS202209140,9,0.52
BOS202209140,10,0.54
BOS202209140,11,0.55
BOS202209140,12,0.61
BOS202209140,13,0.64
BOS202209140,14,0.59
BOS202209140,15,0.54
BOS202209140,16,0.5
BOS202209140,17,0.52
BOS202209140,18,0.54
BOS202209140,19,0.53
BOS202209140,20,0.56
BOS202209140,21,0.53
BOS202209140,22,0.51
BOS202209140,23,0.5
BOS202209140,24,0.46
BOS202209140,25,0.49
BOS202209140,26,0.46
BOS202209140,27,0.4
BOS202209140,28,0.49
BOS202209140,29,0.56
BOS202209140,30,0.53
BOS202209140,31,0.51
BOS202209140,32,0.5
BOS202209140,33,0.53
BOS202209140,34,0.5
BOS202209140,35,0.45
BOS202209140,36,0.5
BOS202209140,37,0.19
BOS202209140,38,0.18
BOS202209140,39,0.2
BOS202209140,40,0.23
BOS202209140,41,0.19
BOS202209140,42,0.16
BOS202209140,43,0.26
BOS202209140,44,0.22
BOS202209140,45,0.19
BOS202209140,46,0.18
BOS202209140,47,0.21
BOS202209140,48,0.12
BOS202209140,49,0.14
BOS202209140,50,0.16
BOS202209140,51,0.21
BOS202209140,52,0.16
BOS202209140,53,0.14
BOS202209140,54,0.11
BOS202209140,55,0.11
BOS202209140,56,0.12
BOS202209140,57,0.13
BOS202209140,58,0.1
BOS202209140,59,0.08
BOS202209140,60,0.07
BOS202209140,61,0.08
BOS202209140,62,0.08
BOS202209140,63,0.06
BOS202209140,64,0.06
BOS202209140,65,0.08
BOS202209140,66,0.09
BOS202209140,67,0.14
BOS202209140,68,0.23
BOS202209140,69,0.14
BOS202209140,70,0.25
BOS202209140,71,0.38
BOS202209140,72,0.07
BOS202209140,73,0.09
BOS202209140,74,0.07
