park,season,comb_score,tot_outs_played,rpop,factor
ANA01,1966,618,4449,0.13890761968981793,0.8317399382090421
ANA01,1967,564,4416,0.12771739130434784,0.7647359834464496
ANA01,1968,528,4405,0.11986379114642452,0.7177108243899772
ANA01,1969,582,4363,0.13339445335778136,0.7987286416755346
ANA01,1970,561,4401,0.1274710293115201,0.7632608368047523
ANA01,1971,530,4415,0.12004530011325028,0.7187976492681888
ANA01,1972,439,4358,0.10073428178063332,0.6031686777935458
ANA01,1973,610,4374,0.13946044810242342,0.8350501199742142
ANA01,1974,578,4346,0.1329958582604694,0.796341965823274
ANA01,1975,643,4471,0.14381570118541714,0.8611281561411492
ANA01,1976,533,4501,0.11841812930459898,0.7090546060077448
ANA01,1977,641,4325,0.14820809248554914,0.8874285655551155
ANA01,1978,687,4346,0.15807639208467555,0.9465171808314693
ANA01,1979,747,4319,0.17295670294049548,1.0356163163532495
ANA01,1980,733,4413,0.16610015862225244,0.99456124852963
ANA01,1981,477,2872,0.16608635097493035,0.9944785722030459
ANA01,1982,736,4391,0.1676155773172398,1.0036351514195088
ANA01,1983,722,4443,0.16250281341435965,0.9730213525353668
ANA01,1984,705,4336,0.16259225092250923,0.9735568792952956
ANA01,1985,701,4269,0.1642070742562661,0.9832259893328633
ANA01,1986,706,4344,0.1625230202578269,0.9731423454569529
ANA01,1987,782,4433,0.17640424092036996,1.0562592086060805
ANA01,1988,701,4378,0.16011877569666513,0.9587464021155764
ANA01,1989,602,4389,0.1371610845295056,0.8212821746280239
ANA01,1990,714,4386,0.16279069767441862,0.9747451228886957
ANA01,1991,594,4373,0.13583352389663847,0.8133331132214912
ANA01,1992,651,4360,0.14931192660550457,0.8940380152366729
ANA01,1993,761,4350,0.17494252873563218,1.047506885263934
ANA01,1994,675,3433,0.19662103116807458,1.1773116887289083
ANA01,1995,727,3816,0.19051362683438156,1.140742261403995
ANA01,1996,838,4368,0.19184981684981686,1.1487429931374693
ANA01,1997,863,4442,0.19428185502026116,1.1633053568301477
ANA01,1998,756,4303,0.17569137810829655,1.0519907856600286
ANA01,1999,766,4331,0.17686446548141307,1.0590149044334156
ANA01,2000,880,4306,0.20436600092893636,1.2236863993798768
ANA01,2001,759,4350,0.17448275862068965,1.0447539105326227
ANA01,2002,722,4371,0.16517959277053307,0.9890491579305961
ANA01,2003,691,4341,0.15917991246256624,0.953124751913378
ANA01,2004,774,4381,0.17667199269573156,1.05786243127732
ANA01,2005,672,4346,0.15462494247583985,0.9258508668395158
ANA01,2006,712,4338,0.16413093591516828,0.9827700942620137
ANA01,2007,808,4293,0.1882133706033077,1.1269689710706745
ANA01,2008,737,4308,0.17107706592386257,1.0243615761196994
ANA01,2009,830,4276,0.1941066417212348,1.1622562286481875
ANA01,2010,641,4416,0.14515398550724637,0.8691414279949896
ANA01,2011,592,4388,0.1349134001823154,0.8078236700174058
ANA01,2012,657,4247,0.1546974334824582,0.926284922692608
ANA01,2013,723,4396,0.16446769790718835,0.9847865307905452
ANA01,2014,672,4487,0.1497659906396256,0.8967568235534958
ANA01,2015,618,4346,0.1421997238840313,0.8514521364684833
ANA01,2016,688,4294,0.16022356776897997,0.9593738677070721
ANA01,2017,691,4339,0.15925328416685872,0.9535640811375832
ANA01,2018,710,4334,0.16382095062298108,0.9809139891156925
ANA01,2019,796,4286,0.18572095193653756,1.1120450658700844
ANA01,2020,321,1570,0.20445859872611466,1.2242408490657568
ANA01,2021,759,4151,0.18284750662490967,1.0948396797920763
ANA01,2022,669,4328,0.15457486136783735,0.9255509951854737
ARL01,1972,520,4125,0.12606060606060607,0.7548156172395234
ARL01,1973,721,4311,0.16724657852006494,1.0014256899267069
ARL01,1974,661,4293,0.15397158164453761,0.921938725096183
ARL01,1975,710,4314,0.1645804357904497,0.9854615736734843
ARL01,1976,636,4362,0.14580467675378267,0.8730375850121193
ARL01,1977,737,4378,0.16834170854271358,1.007983021910385
ARL01,1978,637,4389,0.14513556618819776,0.869031138269188
ARL01,1979,717,4338,0.165283540802213,0.9896715696430671
ARL01,1980,736,4290,0.17156177156177158,1.0272638577815998
ARL01,1981,400,3007,0.13302294645826404,0.7965041623680728
ARL01,1982,619,4366,0.1417773705909299,0.8489232031911659
ARL01,1983,615,4365,0.140893470790378,0.8436306586415172
ARL01,1984,671,4337,0.15471524094996542,0.9263915488226733
ARL01,1985,762,4229,0.18018444076613857,1.0788939869800698
ARL01,1986,717,4333,0.16547426725132702,0.9908135862247001
ARL01,1987,873,4386,0.19904240766073872,1.1918102132798758
ARL01,1988,704,4341,0.1621746141442064,0.9710561871881592
ARL01,1989,723,4314,0.16759388038942977,1.0035052362900412
ARL01,1990,702,4408,0.15925589836660617,0.9535797342338012
ARL01,1991,804,4372,0.1838975297346752,1.1011269242095147
ARL01,1992,693,4401,0.1574642126789366,0.9428516219352823
ARL01,1993,755,4287,0.1761138325169116,1.0545203243887336
ARL02,1994,687,3360,0.2044642857142857,1.2242749011587992
ARL02,1995,747,3867,0.19317300232738557,1.156665857338941
ARL02,1996,915,4271,0.21423554202762818,1.2827824484080586
ARL02,1997,834,4305,0.19372822299651568,1.1599903632664479
ARL02,1998,970,4246,0.22845030617051343,1.3678964765388433
ARL02,1999,935,4278,0.218560074801309,1.3086765399632674
ARL02,2000,952,4322,0.22026839426191577,1.318905478633293
ARL02,2001,939,4425,0.2122033898305085,1.2706144899718117
ARL02,2002,957,4293,0.22292103424178897,1.3347887442012818
ARL02,2003,985,4278,0.23024777933613838,1.3786592426351
ARL02,2004,908,4312,0.21057513914656772,1.2608649807204557
ARL02,2005,893,4299,0.20772272621539892,1.243785530648424
ARL02,2006,841,4312,0.19503710575139147,1.1678275867686159
ARL02,2007,821,4307,0.1906199210587416,1.141378721461396
ARL02,2008,996,4329,0.23007623007623007,1.3776320536935966
ARL02,2009,793,4278,0.18536699392239364,1.1099256643752633
ARL02,2010,769,4353,0.17665977486790718,1.0577892743448032
ARL02,2011,896,4282,0.20924801494628678,1.2529185325500656
